u,v,p,r,m,n,required_valuation,observed_valuation
3,-1,7,2,5,245,6,6
3,-1,11,1,1,11,3,3
3,-1,11,1,2,22,3,3
3,-1,11,1,3,33,3,3
3,-1,11,1,5,55,3,3
3,0,3,1,1,3,2,4
3,0,3,1,2,6,2,4
3,0,3,1,3,9,5,7
3,0,3,1,5,15,2,5
3,0,3,2,1,9,5,7
3,0,3,2,2,18,5,7
3,0,3,2,3,27,8,10
3,0,3,2,5,45,5,8
3,0,3,3,1,27,8,10
3,0,3,3,2,54,8,10
3,0,3,3,3,81,11,13
3,0,3,3,5,135,8,11
3,0,5,1,1,5,3,3
3,0,5,1,2,10,3,3
3,0,5,1,3,15,3,4
3,0,5,1,5,25,6,6
3,0,5,2,1,25,6,6
3,0,5,2,2,50,6,6
3,0,5,2,3,75,6,7
3,0,5,2,5,125,9,9
3,0,7,1,1,7,3,3
3,0,7,1,2,14,3,4
3,0,7,1,3,21,3,3
3,0,7,1,5,35,3,3
3,0,7,2,1,49,6,6
3,0,7,2,2,98,6,7
3,0,7,2,3,147,6,6
3,0,7,2,5,245,6,6
3,0,11,1,1,11,3,3
3,0,11,1,2,22,3,3
3,0,11,1,3,33,3,4
3,0,11,1,5,55,3,3
3,1,3,1,1,3,2,2
3,1,3,1,2,6,2,3
3,1,3,1,3,9,5,5
3,1,3,1,5,15,2,3
3,1,3,2,1,9,5,5
3,1,3,2,2,18,5,6
3,1,3,2,3,27,8,8
3,1,3,2,5,45,5,6
3,1,3,3,1,27,8,8
3,1,3,3,2,54,8,9
3,1,3,3,3,81,11,11
3,1,3,3,5,135,8,9
3,1,5,1,1,5,3,3
3,1,5,1,2,10,3,3
3,1,5,1,3,15,3,4
3,1,5,1,5,25,6,6
3,1,5,2,1,25,6,6
3,1,5,2,2,50,6,6
3,1,5,2,3,75,6,7
3,1,5,2,5,125,9,9
3,1,7,1,1,7,3,3
3,1,7,1,2,14,3,3
3,1,7,1,3,21,3,3
3,1,7,1,5,35,3,3
3,1,7,2,1,49,6,6
3,1,7,2,2,98,6,6
3,1,7,2,3,147,6,6
3,1,7,2,5,245,6,6
3,1,11,1,1,11,3,3
3,1,11,1,2,22,3,3
3,1,11,1,3,33,3,3
3,1,11,1,5,55,3,3
3,2,3,1,1,3,2,3
3,2,3,1,2,6,2,4
3,2,3,1,3,9,5,6
3,2,3,1,5,15,2,3
3,2,3,2,1,9,5,6
3,2,3,2,2,18,5,7
3,2,3,2,3,27,8,9
3,2,3,2,5,45,5,6
3,2,3,3,1,27,8,9
3,2,3,3,2,54,8,10
3,2,3,3,3,81,11,12
3,2,3,3,5,135,8,9
3,2,5,1,1,5,3,3
3,2,5,1,2,10,3,3
3,2,5,1,3,15,3,3
3,2,5,1,5,25,6,6
3,2,5,2,1,25,6,6
3,2,5,2,2,50,6,6
3,2,5,2,3,75,6,6
3,2,5,2,5,125,9,9
3,2,7,1,1,7,3,3
3,2,7,1,2,14,3,4
3,2,7,1,3,21,3,4
3,2,7,1,5,35,3,3
3,2,7,2,1,49,6,6
3,2,7,2,2,98,6,7
3,2,7,2,3,147,6,7
3,2,7,2,5,245,6,6
3,2,11,1,1,11,3,3
3,2,11,1,2,22,3,3
3,2,11,1,3,33,3,3
3,2,11,1,5,55,3,3
3,3,3,1,1,3,2,infinity
3,3,3,1,2,6,2,4
3,3,3,1,3,9,5,infinity
3,3,3,1,5,15,2,infinity
3,3,3,2,1,9,5,infinity
3,3,3,2,2,18,5,7
3,3,3,2,3,27,8,infinity
3,3,3,2,5,45,5,infinity
3,3,3,3,1,27,8,infinity
3,3,3,3,2,54,8,10
3,3,3,3,3,81,11,infinity
3,3,3,3,5,135,8,infinity
3,3,5,1,1,5,3,infinity
3,3,5,1,2,10,3,3
3,3,5,1,3,15,3,infinity
3,3,5,1,5,25,6,infinity
3,3,5,2,1,25,6,infinity
3,3,5,2,2,50,6,6
3,3,5,2,3,75,6,infinity
3,3,5,2,5,125,9,infinity
3,3,7,1,1,7,3,infinity
3,3,7,1,2,14,3,4
3,3,7,1,3,21,3,infinity
3,3,7,1,5,35,3,infinity
3,3,7,2,1,49,6,infinity
3,3,7,2,2,98,6,7
3,3,7,2,3,147,6,infinity
3,3,7,2,5,245,6,infinity
3,3,11,1,1,11,3,infinity
3,3,11,1,2,22,3,3
3,3,11,1,3,33,3,infinity
3,3,11,1,5,55,3,infinity
3,4,3,1,1,3,2,2
3,4,3,1,2,6,2,4
3,4,3,1,3,9,5,5
3,4,3,1,5,15,2,4
3,4,3,2,1,9,5,5
3,4,3,2,2,18,5,7
3,4,3,2,3,27,8,8
3,4,3,2,5,45,5,7
3,4,3,3,1,27,8,8
3,4,3,3,2,54,8,10
3,4,3,3,3,81,11,11
3,4,3,3,5,135,8,10
3,4,5,1,1,5,3,4
3,4,5,1,2,10,3,3
3,4,5,1,3,15,3,3
3,4,5,1,5,25,6,8
3,4,5,2,1,25,6,8
3,4,5,2,2,50,6,6
3,4,5,2,3,75,6,6
3,4,5,2,5,125,9,12
3,4,7,1,1,7,3,4
3,4,7,1,2,14,3,4
3,4,7,1,3,21,3,4
3,4,7,1,5,35,3,4
3,4,7,2,1,49,6,7
3,4,7,2,2,98,6,7
3,4,7,2,3,147,6,7
3,4,7,2,5,245,6,8
3,4,11,1,1,11,3,3
3,4,11,1,2,22,3,3
3,4,11,1,3,33,3,3
3,4,11,1,5,55,3,3
4,-3,3,1,1,3,2,2
4,-3,3,1,2,6,2,4
4,-3,3,1,3,9,5,5
4,-3,3,1,5,15,2,3
4,-3,3,2,1,9,5,5
4,-3,3,2,2,18,5,7
4,-3,3,2,3,27,8,8
4,-3,3,2,5,45,5,6
4,-3,3,3,1,27,8,8
4,-3,3,3,2,54,8,10
4,-3,3,3,3,81,11,11
4,-3,3,3,5,135,8,9
4,-3,5,1,1,5,3,3
4,-3,5,1,2,10,3,4
4,-3,5,1,3,15,3,3
4,-3,5,1,5,25,6,6
4,-3,5,2,1,25,6,6
4,-3,5,2,2,50,6,7
4,-3,5,2,3,75,6,6
4,-3,5,2,5,125,9,9
4,-3,7,1,1,7,3,4
4,-3,7,1,2,14,3,3
4,-3,7,1,3,21,3,4
4,-3,7,1,5,35,3,4
4,-3,7,2,1,49,6,7
4,-3,7,2,2,98,6,6
4,-3,7,2,3,147,6,7
4,-3,7,2,5,245,6,7
4,-3,11,1,1,11,3,3
4,-3,11,1,2,22,3,3
4,-3,11,1,3,33,3,3
4,-3,11,1,5,55,3,3
4,-2,3,1,1,3,2,3
4,-2,3,1,2,6,2,3
4,-2,3,1,3,9,5,6
4,-2,3,1,5,15,2,3
4,-2,3,2,1,9,5,6
4,-2,3,2,2,18,5,6
4,-2,3,2,3,27,8,9
4,-2,3,2,5,45,5,6
4,-2,3,3,1,27,8,9
4,-2,3,3,2,54,8,9
4,-2,3,3,3,81,11,12
4,-2,3,3,5,135,8,9
4,-2,5,1,1,5,3,4
4,-2,5,1,2,10,3,3
4,-2,5,1,3,15,3,3
4,-2,5,1,5,25,6,7
4,-2,5,2,1,25,6,7
4,-2,5,2,2,50,6,6
4,-2,5,2,3,75,6,6
4,-2,5,2,5,125,9,10
4,-2,7,1,1,7,3,3
4,-2,7,1,2,14,3,3
4,-2,7,1,3,21,3,3
4,-2,7,1,5,35,3,5
4,-2,7,2,1,49,6,6
4,-2,7,2,2,98,6,6
4,-2,7,2,3,147,6,6
4,-2,7,2,5,245,6,8
4,-2,11,1,1,11,3,3
4,-2,11,1,2,22,3,3
4,-2,11,1,3,33,3,4
4,-2,11,1,5,55,3,3
4,-1,3,1,1,3,2,2
4,-1,3,1,2,6,2,2
4,-1,3,1,3,9,5,5
4,-1,3,1,5,15,2,2
4,-1,3,2,1,9,5,5
4,-1,3,2,2,18,5,5
4,-1,3,2,3,27,8,8
4,-1,3,2,5,45,5,5
4,-1,3,3,1,27,8,8
4,-1,3,3,2,54,8,8
4,-1,3,3,3,81,11,11
4,-1,3,3,5,135,8,8
4,-1,5,1,1,5,3,4
4,-1,5,1,2,10,3,3
4,-1,5,1,3,15,3,4
4,-1,5,1,5,25,6,7
4,-1,5,2,1,25,6,7
4,-1,5,2,2,50,6,6
4,-1,5,2,3,75,6,7
4,-1,5,2,5,125,9,10
4,-1,7,1,1,7,3,3
4,-1,7,1,2,14,3,3
4,-1,7,1,3,21,3,3
4,-1,7,1,5,35,3,3
4,-1,7,2,1,49,6,6
4,-1,7,2,2,98,6,6
4,-1,7,2,3,147,6,6
4,-1,7,2,5,245,6,6
4,-1,11,1,1,11,3,3
4,-1,11,1,2,22,3,3
4,-1,11,1,3,33,3,3
4,-1,11,1,5,55,3,3
4,0,3,1,1,3,2,2
4,0,3,1,2,6,2,4
4,0,3,1,3,9,5,5
4,0,3,1,5,15,2,3
4,0,3,2,1,9,5,5
4,0,3,2,2,18,5,7
4,0,3,2,3,27,8,8
4,0,3,2,5,45,5,6
4,0,3,3,1,27,8,8
4,0,3,3,2,54,8,10
4,0,3,3,3,81,11,11
4,0,3,3,5,135,8,9
4,0,5,1,1,5,3,4
4,0,5,1,2,10,3,4
4,0,5,1,3,15,3,4
4,0,5,1,5,25,6,7
4,0,5,2,1,25,6,7
4,0,5,2,2,50,6,7
4,0,5,2,3,75,6,7
4,0,5,2,5,125,9,10
4,0,7,1,1,7,3,3
4,0,7,1,2,14,3,3
4,0,7,1,3,21,3,4
4,0,7,1,5,35,3,4
4,0,7,2,1,49,6,6
4,0,7,2,2,98,6,6
4,0,7,2,3,147,6,7
4,0,7,2,5,245,6,7
4,0,11,1,1,11,3,3
4,0,11,1,2,22,3,3
4,0,11,1,3,33,3,3
4,0,11,1,5,55,3,4
4,1,3,1,1,3,2,3
4,1,3,1,2,6,2,3
4,1,3,1,3,9,5,6
4,1,3,1,5,15,2,3
4,1,3,2,1,9,5,6
4,1,3,2,2,18,5,6
4,1,3,2,3,27,8,9
4,1,3,2,5,45,5,6
4,1,3,3,1,27,8,9
4,1,3,3,2,54,8,9
4,1,3,3,3,81,11,12
4,1,3,3,5,135,8,9
4,1,5,1,1,5,3,3
4,1,5,1,2,10,3,4
4,1,5,1,3,15,3,4
4,1,5,1,5,25,6,6
4,1,5,2,1,25,6,6
4,1,5,2,2,50,6,7
4,1,5,2,3,75,6,7
4,1,5,2,5,125,9,9
4,1,7,1,1,7,3,3
4,1,7,1,2,14,3,3
4,1,7,1,3,21,3,3
4,1,7,1,5,35,3,4
4,1,7,2,1,49,6,6
4,1,7,2,2,98,6,6
4,1,7,2,3,147,6,6
4,1,7,2,5,245,6,7
4,1,11,1,1,11,3,3
4,1,11,1,2,22,3,3
4,1,11,1,3,33,3,3
4,1,11,1,5,55,3,3
4,2,3,1,1,3,2,2
4,2,3,1,2,6,2,2
4,2,3,1,3,9,5,5
4,2,3,1,5,15,2,3
4,2,3,2,1,9,5,5
4,2,3,2,2,18,5,5
4,2,3,2,3,27,8,8
4,2,3,2,5,45,5,6
4,2,3,3,1,27,8,8
4,2,3,3,2,54,8,8
4,2,3,3,3,81,11,11
4,2,3,3,5,135,8,9
4,2,5,1,1,5,3,3
4,2,5,1,2,10,3,4
4,2,5,1,3,15,3,3
4,2,5,1,5,25,6,6
4,2,5,2,1,25,6,6
4,2,5,2,2,50,6,8
4,2,5,2,3,75,6,6
4,2,5,2,5,125,9,9
4,2,7,1,1,7,3,4
4,2,7,1,2,14,3,4
4,2,7,1,3,21,3,4
4,2,7,1,5,35,3,4
4,2,7,2,1,49,6,7
4,2,7,2,2,98,6,7
4,2,7,2,3,147,6,7
4,2,7,2,5,245,6,7
4,2,11,1,1,11,3,3
4,2,11,1,2,22,3,3
4,2,11,1,3,33,3,3
4,2,11,1,5,55,3,4
4,3,3,1,1,3,2,2
4,3,3,1,2,6,2,4
4,3,3,1,3,9,5,5
4,3,3,1,5,15,2,4
4,3,3,2,1,9,5,5
4,3,3,2,2,18,5,7
4,3,3,2,3,27,8,8
4,3,3,2,5,45,5,7
4,3,3,3,1,27,8,8
4,3,3,3,2,54,8,10
4,3,3,3,3,81,11,11
4,3,3,3,5,135,8,10
4,3,5,1,1,5,3,4
4,3,5,1,2,10,3,3
4,3,5,1,3,15,3,3
4,3,5,1,5,25,6,8
4,3,5,2,1,25,6,8
4,3,5,2,2,50,6,6
4,3,5,2,3,75,6,6
4,3,5,2,5,125,9,12
4,3,7,1,1,7,3,4
4,3,7,1,2,14,3,4
4,3,7,1,3,21,3,4
4,3,7,1,5,35,3,4
4,3,7,2,1,49,6,7
4,3,7,2,2,98,6,7
4,3,7,2,3,147,6,7
4,3,7,2,5,245,6,8
4,3,11,1,1,11,3,3
4,3,11,1,2,22,3,3
4,3,11,1,3,33,3,3
4,3,11,1,5,55,3,3
4,4,3,1,1,3,2,infinity
4,4,3,1,2,6,2,4
4,4,3,1,3,9,5,infinity
4,4,3,1,5,15,2,infinity
4,4,3,2,1,9,5,infinity
4,4,3,2,2,18,5,7
4,4,3,2,3,27,8,infinity
4,4,3,2,5,45,5,infinity
4,4,3,3,1,27,8,infinity
4,4,3,3,2,54,8,10
4,4,3,3,3,81,11,infinity
4,4,3,3,5,135,8,infinity
4,4,5,1,1,5,3,infinity
4,4,5,1,2,10,3,3
4,4,5,1,3,15,3,infinity
4,4,5,1,5,25,6,infinity
4,4,5,2,1,25,6,infinity
4,4,5,2,2,50,6,6
4,4,5,2,3,75,6,infinity
4,4,5,2,5,125,9,infinity
4,4,7,1,1,7,3,infinity
4,4,7,1,2,14,3,3
4,4,7,1,3,21,3,infinity
4,4,7,1,5,35,3,infinity
4,4,7,2,1,49,6,infinity
4,4,7,2,2,98,6,6
4,4,7,2,3,147,6,infinity
4,4,7,2,5,245,6,infinity
4,4,11,1,1,11,3,infinity
4,4,11,1,2,22,3,3
4,4,11,1,3,33,3,infinity
4,4,11,1,5,55,3,infinity
