n,relation,frontiers,frontier_height,width,max_type
6,0<1;0<2;0<3;0<4;0<5;1<2;1<4;1<5;3<5,4,4,3,omega^3*2
6,1<3;1<4;1<5;3<5,3,3,4,omega^4*2
6,0<2;1<3;1<4;1<5;3<5,6,4,3,omega^3*4
6,0<4;1<3;1<4;1<5;3<5,5,4,3,omega^3*5
6,0<2;0<4;1<3;1<4;1<5;3<5,6,4,3,omega^3*2
6,0<5;1<3;1<4;1<5;3<5,3,3,4,omega^4 + omega^3
6,0<2;0<5;1<3;1<4;1<5;3<5,5,4,3,omega^3*3
6,0<3;0<5;1<3;1<4;1<5;3<5,4,4,3,omega^3*4
6,0<2;0<3;0<5;1<3;1<4;1<5;3<5,5,4,3,omega^3*2
6,0<4;0<5;1<3;1<4;1<5;3<5,4,4,3,omega^3*4
6,0<2;0<4;0<5;1<3;1<4;1<5;3<5,5,4,3,omega^3*2
6,0<3;0<4;0<5;1<3;1<4;1<5;3<5,3,3,3,omega^3*3
6,0<1;0<3;0<4;0<5;1<3;1<4;1<5;3<5,4,4,3,omega^3*2
6,0<2;0<3;0<4;0<5;1<3;1<4;1<5;3<5,4,4,3,omega^3*2
6,0<1;0<2;0<3;0<4;0<5;1<3;1<4;1<5;3<5,4,4,3,omega^3*2
6,1<2;1<3;1<4;1<5;3<5,3,3,4,omega^4*2
6,0<2;1<2;1<3;1<4;1<5;3<5,5,4,3,omega^3*4
6,0<4;1<2;1<3;1<4;1<5;3<5,5,4,3,omega^3*4
6,0<2;0<4;1<2;1<3;1<4;1<5;3<5,5,4,3,omega^3*2
6,0<5;1<2;1<3;1<4;1<5;3<5,3,3,4,omega^4 + omega^3
6,0<2;0<5;1<2;1<3;1<4;1<5;3<5,4,4,3,omega^3*3
6,0<3;0<5;1<2;1<3;1<4;1<5;3<5,4,4,3,omega^3*3
6,0<2;0<3;0<5;1<2;1<3;1<4;1<5;3<5,4,4,3,omega^3*2
6,0<4;0<5;1<2;1<3;1<4;1<5;3<5,4,4,3,omega^3*3
6,0<2;0<4;0<5;1<2;1<3;1<4;1<5;3<5,4,4,3,omega^3*2
6,0<3;0<4;0<5;1<2;1<3;1<4;1<5;3<5,4,4,3,omega^3*2
6,0<2;0<3;0<4;0<5;1<2;1<3;1<4;1<5;3<5,3,3,3,omega^3*2
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;1<4;1<5;3<5,4,4,3,omega^3*2
6,2<4;3<5,4,3,4,omega^4*4
6,0<1;2<4;3<5,8,4,3,omega^3*8
6,0<4;2<4;3<5,4,3,4,omega^4*2 + omega^3*2
6,0<1;0<4;2<4;3<5,6,4,3,omega^3*6
6,0<2;0<4;2<4;3<5,6,4,3,omega^3*6
6,0<1;0<2;0<4;2<4;3<5,6,4,3,omega^3*4
6,0<5;2<4;3<5,4,3,4,omega^4*2 + omega^3*2
6,0<1;0<5;2<4;3<5,6,4,3,omega^3*6
6,0<3;0<5;2<4;3<5,6,4,3,omega^3*6
6,0<1;0<3;0<5;2<4;3<5,6,4,3,omega^3*4
6,0<4;0<5;2<4;3<5,4,3,4,omega^4 + omega^3*3
6,0<1;0<4;0<5;2<4;3<5,5,4,3,omega^3*5
6,0<2;0<4;0<5;2<4;3<5,5,4,3,omega^3*5
6,0<1;0<2;0<4;0<5;2<4;3<5,5,4,3,omega^3*4
6,0<3;0<4;0<5;2<4;3<5,5,4,3,omega^3*5
6,0<1;0<3;0<4;0<5;2<4;3<5,5,4,3,omega^3*4
6,0<2;0<3;0<4;0<5;2<4;3<5,5,4,3,omega^3*4
6,0<1;0<2;0<3;0<4;0<5;2<4;3<5,5,4,3,omega^3*4
6,1<4;2<4;3<5,4,3,4,omega^4*2 + omega^3*2
6,0<4;1<4;2<4;3<5,4,3,4,omega^4*2 + omega^2*2
6,0<1;0<4;1<4;2<4;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<2;0<4;1<4;2<4;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<1;0<2;0<4;1<4;2<4;3<5,6,4,3,omega^3*2 + omega^2*2
6,0<5;1<4;2<4;3<5,4,3,4,omega^4 + omega^3*2 + omega^2
6,0<3;0<5;1<4;2<4;3<5,6,4,3,omega^3*3 + omega^2*3
6,0<4;0<5;1<4;2<4;3<5,4,3,4,omega^4 + omega^3 + omega^2*2
6,0<1;0<4;0<5;1<4;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<2;0<4;0<5;1<4;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<1;0<2;0<4;0<5;1<4;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<3;0<4;0<5;1<4;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<1;0<3;0<4;0<5;1<4;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<2;0<3;0<4;0<5;1<4;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<1;0<2;0<3;0<4;0<5;1<4;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,1<2;1<4;2<4;3<5,6,4,3,omega^3*6
6,0<4;1<2;1<4;2<4;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<2;0<4;1<2;1<4;2<4;3<5,6,4,3,omega^3*2 + omega^2*4
6,0<1;0<2;0<4;1<2;1<4;2<4;3<5,8,5,2,omega^2*8
6,0<5;1<2;1<4;2<4;3<5,6,4,3,omega^3*3 + omega^2*3
6,0<3;0<5;1<2;1<4;2<4;3<5,9,5,2,omega^2*9
6,0<4;0<5;1<2;1<4;2<4;3<5,6,4,3,omega^3*2 + omega^2*4
6,0<2;0<4;0<5;1<2;1<4;2<4;3<5,6,4,3,omega^3 + omega^2*5
6,0<1;0<2;0<4;0<5;1<2;1<4;2<4;3<5,7,5,2,omega^2*7
6,0<3;0<4;0<5;1<2;1<4;2<4;3<5,8,5,2,omega^2*8
6,0<2;0<3;0<4;0<5;1<2;1<4;2<4;3<5,7,5,2,omega^2*7
6,0<1;0<2;0<3;0<4;0<5;1<2;1<4;2<4;3<5,7,5,2,omega^2*6
6,1<5;2<4;3<5,4,3,4,omega^4*2 + omega^3*2
6,0<4;1<5;2<4;3<5,4,3,4,omega^4 + omega^3*2 + omega^2
6,0<2;0<4;1<5;2<4;3<5,6,4,3,omega^3*3 + omega^2*3
6,0<5;1<5;2<4;3<5,4,3,4,omega^4*2 + omega^2*2
6,0<1;0<5;1<5;2<4;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<3;0<5;1<5;2<4;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<1;0<3;0<5;1<5;2<4;3<5,6,4,3,omega^3*2 + omega^2*2
6,0<4;0<5;1<5;2<4;3<5,4,3,4,omega^4 + omega^3 + omega^2*2
6,0<1;0<4;0<5;1<5;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<2;0<4;0<5;1<5;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<1;0<2;0<4;0<5;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<3;0<4;0<5;1<5;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<1;0<3;0<4;0<5;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<2;0<3;0<4;0<5;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<1;0<2;0<3;0<4;0<5;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,1<3;1<5;2<4;3<5,6,4,3,omega^3*6
6,0<4;1<3;1<5;2<4;3<5,6,4,3,omega^3*3 + omega^2*3
6,0<2;0<4;1<3;1<5;2<4;3<5,9,5,2,omega^2*9
6,0<5;1<3;1<5;2<4;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<3;0<5;1<3;1<5;2<4;3<5,6,4,3,omega^3*2 + omega^2*4
6,0<1;0<3;0<5;1<3;1<5;2<4;3<5,8,5,2,omega^2*8
6,0<4;0<5;1<3;1<5;2<4;3<5,6,4,3,omega^3*2 + omega^2*4
6,0<2;0<4;0<5;1<3;1<5;2<4;3<5,8,5,2,omega^2*8
6,0<3;0<4;0<5;1<3;1<5;2<4;3<5,6,4,3,omega^3 + omega^2*5
6,0<1;0<3;0<4;0<5;1<3;1<5;2<4;3<5,7,5,2,omega^2*7
6,0<2;0<3;0<4;0<5;1<3;1<5;2<4;3<5,7,5,2,omega^2*7
6,0<1;0<2;0<3;0<4;0<5;1<3;1<5;2<4;3<5,7,5,2,omega^2*6
6,1<4;1<5;2<4;3<5,4,3,4,omega^4 + omega^3*3
6,0<4;1<4;1<5;2<4;3<5,4,3,4,omega^4 + omega^3 + omega^2*2
6,0<2;0<4;1<4;1<5;2<4;3<5,6,4,3,omega^3*2 + omega^2*4
6,0<5;1<4;1<5;2<4;3<5,4,3,4,omega^4 + omega^3 + omega^2*2
6,0<3;0<5;1<4;1<5;2<4;3<5,6,4,3,omega^3*2 + omega^2*4
6,0<4;0<5;1<4;1<5;2<4;3<5,4,3,4,omega^4 + omega^2*3
6,0<1;0<4;0<5;1<4;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*3
6,0<2;0<4;0<5;1<4;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*3
6,0<1;0<2;0<4;0<5;1<4;1<5;2<4;3<5,5,4,3,omega^3 + omega^2*3
6,0<3;0<4;0<5;1<4;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*3
6,0<1;0<3;0<4;0<5;1<4;1<5;2<4;3<5,5,4,3,omega^3 + omega^2*3
6,0<2;0<3;0<4;0<5;1<4;1<5;2<4;3<5,5,4,3,omega^3 + omega^2*3
6,0<1;0<2;0<3;0<4;0<5;1<4;1<5;2<4;3<5,5,4,3,omega^3 + omega^2*3
6,1<2;1<4;1<5;2<4;3<5,5,4,3,omega^3*5
6,0<4;1<2;1<4;1<5;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<2;0<4;1<2;1<4;1<5;2<4;3<5,6,4,3,omega^3 + omega^2*5
6,0<5;1<2;1<4;1<5;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<3;0<5;1<2;1<4;1<5;2<4;3<5,8,5,2,omega^2*8
6,0<4;0<5;1<2;1<4;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*3
6,0<2;0<4;0<5;1<2;1<4;1<5;2<4;3<5,5,4,3,omega^3 + omega^2*4
6,0<1;0<2;0<4;0<5;1<2;1<4;1<5;2<4;3<5,6,5,2,omega^2*6
6,0<3;0<4;0<5;1<2;1<4;1<5;2<4;3<5,7,5,2,omega^2*7
6,0<2;0<3;0<4;0<5;1<2;1<4;1<5;2<4;3<5,6,5,2,omega^2*6
6,0<1;0<2;0<3;0<4;0<5;1<2;1<4;1<5;2<4;3<5,6,5,2,omega^2*5
6,1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3*5
6,0<4;1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<2;0<4;1<3;1<4;1<5;2<4;3<5,8,5,2,omega^2*8
6,0<5;1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<3;0<5;1<3;1<4;1<5;2<4;3<5,6,4,3,omega^3 + omega^2*5
6,0<4;0<5;1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*3
6,0<2;0<4;0<5;1<3;1<4;1<5;2<4;3<5,7,5,2,omega^2*7
6,0<3;0<4;0<5;1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3 + omega^2*4
6,0<1;0<3;0<4;0<5;1<3;1<4;1<5;2<4;3<5,6,5,2,omega^2*6
6,0<2;0<3;0<4;0<5;1<3;1<4;1<5;2<4;3<5,6,5,2,omega^2*6
6,0<1;0<2;0<3;0<4;0<5;1<3;1<4;1<5;2<4;3<5,6,5,2,omega^2*5
6,1<2;1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3*4
6,0<4;1<2;1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<2;0<4;1<2;1<3;1<4;1<5;2<4;3<5,7,5,2,omega^2*7
6,0<5;1<2;1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<3;0<5;1<2;1<3;1<4;1<5;2<4;3<5,7,5,2,omega^2*7
6,0<4;0<5;1<2;1<3;1<4;1<5;2<4;3<5,5,4,3,omega^3 + omega^2*3
6,0<2;0<4;0<5;1<2;1<3;1<4;1<5;2<4;3<5,6,5,2,omega^2*6
6,0<3;0<4;0<5;1<2;1<3;1<4;1<5;2<4;3<5,6,5,2,omega^2*6
6,0<2;0<3;0<4;0<5;1<2;1<3;1<4;1<5;2<4;3<5,5,4,2,omega^2*5
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;1<4;1<5;2<4;3<5,6,5,2,omega^2*4
6,2<5;3<5,2,2,5,omega^5 + omega^4
6,0<1;2<5;3<5,4,3,4,omega^4*2 + omega^3*2
6,0<4;2<5;3<5,4,3,4,omega^4*2 + omega^3*2
6,0<1;0<4;2<5;3<5,4,3,4,omega^4 + omega^3
6,0<5;2<5;3<5,2,2,5,omega^5 + omega^3
6,0<1;0<5;2<5;3<5,3,3,4,omega^4*2 + omega^3
6,0<2;0<5;2<5;3<5,3,3,4,omega^4*2 + omega^3
6,0<1;0<2;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<3;0<5;2<5;3<5,3,3,4,omega^4*2 + omega^3
6,0<1;0<3;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<2;0<3;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<1;0<2;0<3;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<4;0<5;2<5;3<5,3,3,4,omega^4*2 + omega^3
6,0<1;0<4;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<2;0<4;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<1;0<2;0<4;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<3;0<4;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<1;0<3;0<4;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<2;0<3;0<4;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<1;0<2;0<3;0<4;0<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,1<4;2<5;3<5,4,3,4,omega^4*2 + omega^3*2
6,0<4;1<4;2<5;3<5,4,3,4,omega^4 + omega^3*2 + omega^2
6,0<1;0<4;1<4;2<5;3<5,6,4,3,omega^3*3 + omega^2*3
6,0<5;1<4;2<5;3<5,4,3,4,omega^4*2 + omega^2*2
6,0<2;0<5;1<4;2<5;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<3;0<5;1<4;2<5;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<2;0<3;0<5;1<4;2<5;3<5,6,4,3,omega^3*2 + omega^2*2
6,0<4;0<5;1<4;2<5;3<5,4,3,4,omega^4 + omega^3 + omega^2*2
6,0<1;0<4;0<5;1<4;2<5;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<2;0<4;0<5;1<4;2<5;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<1;0<2;0<4;0<5;1<4;2<5;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<3;0<4;0<5;1<4;2<5;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<1;0<3;0<4;0<5;1<4;2<5;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<2;0<3;0<4;0<5;1<4;2<5;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<1;0<2;0<3;0<4;0<5;1<4;2<5;3<5,5,4,3,omega^3*2 + omega^2*2
6,1<5;2<5;3<5,2,2,5,omega^5 + omega^3
6,0<4;1<5;2<5;3<5,4,3,4,omega^4*2 + omega^2*2
6,0<5;1<5;2<5;3<5,2,2,5,omega^5 + omega^2
6,0<1;0<5;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^2
6,0<2;0<5;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^2
6,0<1;0<2;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<3;0<5;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^2
6,0<1;0<3;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<2;0<3;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<1;0<2;0<3;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<4;0<5;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^2
6,0<1;0<4;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<2;0<4;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<1;0<2;0<4;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<3;0<4;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<1;0<3;0<4;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<2;0<3;0<4;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<1;0<2;0<3;0<4;0<5;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,1<2;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^3
6,0<4;1<2;1<5;2<5;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<5;1<2;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^2
6,0<2;0<5;1<2;1<5;2<5;3<5,3,3,4,omega^4 + omega^3 + omega^2
6,0<1;0<2;0<5;1<2;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<3;0<5;1<2;1<5;2<5;3<5,5,4,3,omega^3*4 + omega^2
6,0<2;0<3;0<5;1<2;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<1;0<2;0<3;0<5;1<2;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<4;0<5;1<2;1<5;2<5;3<5,5,4,3,omega^3*4 + omega^2
6,0<2;0<4;0<5;1<2;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<1;0<2;0<4;0<5;1<2;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<3;0<4;0<5;1<2;1<5;2<5;3<5,5,4,3,omega^3*2 + omega^2
6,0<2;0<3;0<4;0<5;1<2;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<1;0<2;0<3;0<4;0<5;1<2;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,1<3;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^3
6,0<4;1<3;1<5;2<5;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<5;1<3;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^2
6,0<2;0<5;1<3;1<5;2<5;3<5,5,4,3,omega^3*4 + omega^2
6,0<3;0<5;1<3;1<5;2<5;3<5,3,3,4,omega^4 + omega^3 + omega^2
6,0<1;0<3;0<5;1<3;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<2;0<3;0<5;1<3;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<1;0<2;0<3;0<5;1<3;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<4;0<5;1<3;1<5;2<5;3<5,5,4,3,omega^3*4 + omega^2
6,0<2;0<4;0<5;1<3;1<5;2<5;3<5,5,4,3,omega^3*2 + omega^2
6,0<3;0<4;0<5;1<3;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<1;0<3;0<4;0<5;1<3;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<2;0<3;0<4;0<5;1<3;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<1;0<2;0<3;0<4;0<5;1<3;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,1<2;1<3;1<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<4;1<2;1<3;1<5;2<5;3<5,6,4,3,omega^3*2 + omega^2*2
6,0<5;1<2;1<3;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<2;0<5;1<2;1<3;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<3;0<5;1<2;1<3;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<2;0<3;0<5;1<2;1<3;1<5;2<5;3<5,3,3,3,omega^3*2 + omega^2
6,0<1;0<2;0<3;0<5;1<2;1<3;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<4;0<5;1<2;1<3;1<5;2<5;3<5,5,4,3,omega^3*2 + omega^2
6,0<2;0<4;0<5;1<2;1<3;1<5;2<5;3<5,5,4,3,omega^3 + omega^2
6,0<3;0<4;0<5;1<2;1<3;1<5;2<5;3<5,5,4,3,omega^3 + omega^2
6,0<2;0<3;0<4;0<5;1<2;1<3;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,1<4;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^3
6,0<4;1<4;1<5;2<5;3<5,4,3,4,omega^4 + omega^3 + omega^2*2
6,0<5;1<4;1<5;2<5;3<5,3,3,4,omega^4*2 + omega^2
6,0<2;0<5;1<4;1<5;2<5;3<5,5,4,3,omega^3*4 + omega^2
6,0<3;0<5;1<4;1<5;2<5;3<5,5,4,3,omega^3*4 + omega^2
6,0<2;0<3;0<5;1<4;1<5;2<5;3<5,5,4,3,omega^3*2 + omega^2
6,0<4;0<5;1<4;1<5;2<5;3<5,3,3,4,omega^4 + omega^3 + omega^2
6,0<1;0<4;0<5;1<4;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<2;0<4;0<5;1<4;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<1;0<2;0<4;0<5;1<4;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<3;0<4;0<5;1<4;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<1;0<3;0<4;0<5;1<4;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<2;0<3;0<4;0<5;1<4;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<1;0<2;0<3;0<4;0<5;1<4;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,1<2;1<4;1<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<4;1<2;1<4;1<5;2<5;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<5;1<2;1<4;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<2;0<5;1<2;1<4;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<3;0<5;1<2;1<4;1<5;2<5;3<5,5,4,3,omega^3*2 + omega^2
6,0<2;0<3;0<5;1<2;1<4;1<5;2<5;3<5,5,4,3,omega^3 + omega^2
6,0<4;0<5;1<2;1<4;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<2;0<4;0<5;1<2;1<4;1<5;2<5;3<5,3,3,3,omega^3*2 + omega^2
6,0<1;0<2;0<4;0<5;1<2;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<3;0<4;0<5;1<2;1<4;1<5;2<5;3<5,5,4,3,omega^3 + omega^2
6,0<2;0<3;0<4;0<5;1<2;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<1;0<2;0<3;0<4;0<5;1<2;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,1<3;1<4;1<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<4;1<3;1<4;1<5;2<5;3<5,5,4,3,omega^3*3 + omega^2*2
6,0<5;1<3;1<4;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<2;0<5;1<3;1<4;1<5;2<5;3<5,5,4,3,omega^3*2 + omega^2
6,0<3;0<5;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<2;0<3;0<5;1<3;1<4;1<5;2<5;3<5,5,4,3,omega^3 + omega^2
6,0<4;0<5;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3*3 + omega^2
6,0<2;0<4;0<5;1<3;1<4;1<5;2<5;3<5,5,4,3,omega^3 + omega^2
6,0<3;0<4;0<5;1<3;1<4;1<5;2<5;3<5,3,3,3,omega^3*2 + omega^2
6,0<1;0<3;0<4;0<5;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<2;0<3;0<4;0<5;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<1;0<2;0<3;0<4;0<5;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,1<2;1<3;1<4;1<5;2<5;3<5,3,3,4,omega^4 + omega^3
6,0<4;1<2;1<3;1<4;1<5;2<5;3<5,5,4,3,omega^3*2 + omega^2*2
6,0<5;1<2;1<3;1<4;1<5;2<5;3<5,3,3,4,omega^4 + omega^2
6,0<2;0<5;1<2;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<3;0<5;1<2;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<2;0<3;0<5;1<2;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<4;0<5;1<2;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3*2 + omega^2
6,0<2;0<4;0<5;1<2;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<3;0<4;0<5;1<2;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,0<2;0<3;0<4;0<5;1<2;1<3;1<4;1<5;2<5;3<5,3,3,3,omega^3 + omega^2
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;1<4;1<5;2<5;3<5,4,4,3,omega^3 + omega^2
6,2<3;2<5;3<5,3,3,4,omega^4*3
6,0<1;2<3;2<5;3<5,6,4,3,omega^3*6
6,0<4;2<3;2<5;3<5,6,4,3,omega^3*6
6,0<1;0<4;2<3;2<5;3<5,6,4,3,omega^3*3
6,0<5;2<3;2<5;3<5,3,3,4,omega^4*2 + omega^3
6,0<1;0<5;2<3;2<5;3<5,5,4,3,omega^3*5
6,0<3;0<5;2<3;2<5;3<5,3,3,4,omega^4 + omega^3*2
6,0<1;0<3;0<5;2<3;2<5;3<5,4,4,3,omega^3*4
6,0<2;0<3;0<5;2<3;2<5;3<5,4,4,3,omega^3*4
6,0<1;0<2;0<3;0<5;2<3;2<5;3<5,4,4,3,omega^3*3
6,0<4;0<5;2<3;2<5;3<5,5,4,3,omega^3*5
6,0<1;0<4;0<5;2<3;2<5;3<5,5,4,3,omega^3*3
6,0<3;0<4;0<5;2<3;2<5;3<5,4,4,3,omega^3*4
6,0<1;0<3;0<4;0<5;2<3;2<5;3<5,4,4,3,omega^3*3
6,0<2;0<3;0<4;0<5;2<3;2<5;3<5,4,4,3,omega^3*3
6,0<1;0<2;0<3;0<4;0<5;2<3;2<5;3<5,4,4,3,omega^3*3
6,1<4;2<3;2<5;3<5,6,4,3,omega^3*6
6,0<4;1<4;2<3;2<5;3<5,6,4,3,omega^3*3 + omega^2*3
6,0<1;0<4;1<4;2<3;2<5;3<5,9,5,2,omega^2*9
6,0<5;1<4;2<3;2<5;3<5,6,4,3,omega^3*4 + omega^2*2
6,0<3;0<5;1<4;2<3;2<5;3<5,6,4,3,omega^3*2 + omega^2*4
6,0<2;0<3;0<5;1<4;2<3;2<5;3<5,8,5,2,omega^2*8
6,0<4;0<5;1<4;2<3;2<5;3<5,6,4,3,omega^3*2 + omega^2*4
